year,state_abbrev,homeless_count,win_party,AvgSalary,PerCapNetEarning,PerCapNetIncome,TotalNumJobs
2016,CO,55552.0,Republican,55420,33619,52475,3667987
2016,CT,18814.0,Democrat,64950,45492,69919,2300038
2016,DC,44816.0,Democrat,88707,53817,77828,891545
2016,DE,5074.0,Democrat,53128,29737,48836,578698
2016,FL,174246.0,Republican,48544,24577,46073,11673482
2016,GA,64516.0,Republican,51581,27802,42896,5971967
2016,GU,4692.0,,,,,
2016,HI,42594.0,Democrat,49657,32029,51170,913087
2016,IA,14774.0,Republican,43917,29322,46547,2066316
2016,ID,11644.0,Republican,40496,23986,40567,976764
2016,IL,57524.0,Republican,57608,34074,52417,7799138
2016,IN,28980.0,Republican,45360,28309,43672,3847689
2016,KS,10008.0,Republican,45379,30667,47390,1916428
2016,KY,20890.0,Republican,43915,23491,39754,2498847
2016,LA,21046.0,Republican,46687,25796,42528,2690820
2016,MA,94740.0,Democrat,66041,42596,65725,4709906
2016,MD,39480.0,Republican,59710,39641,59011,3655889
2016,ME,11044.0,Republican,43747,26551,44832,826669
2016,MI,46678.0,Republican,50555,27060,44637,5575625
2016,MN,38104.0,Republican,53497,34172,53083,3698285
2016,MO,35318.0,Republican,47154,26990,44318,3700663
2016,MS,8414.0,Republican,39150,20525,35672,1579873
2016,MT,7082.0,Republican,40911,24909,44024,667815
2016,NC,47676.0,Republican,48280,26377,42816,5829015
2016,ND,4788.0,Republican,48066,33544,51832,576908
2016,NE,13562.0,Republican,45222,32344,49615,1310866
2016,NH,7404.0,Democrat,52819,38156,56513,873134
2016,NJ,43862.0,Democrat,62317,42169,62842,5391330
2016,NM,12930.0,Republican,43692,21995,39025,1092500
2016,NV,39590.0,Republican,48453,26574,45351,1725136
2016,NY,398450.0,Republican,67396,38203,61401,12259144
2016,OH,50656.0,Republican,48526,28592,45226,6931860
2016,OK,21908.0,Republican,44768,25884,41887,2286701
2016,OR,75044.0,Republican,50404,27841,46586,2450362
2016,PA,76154.0,Republican,51370,32858,51818,7593966
2016,PR,25914.0,,,,,
2016,RI,5796.0,Democrat,51998,31175,50655,632521
2016,SC,27040.0,Republican,44228,24118,40569,2700035
2016,SD,5138.0,Republican,40716,29559,48724,597414
2016,TN,46292.0,Republican,46965,28599,43626,3951095
2016,TX,118182.0,Republican,53876,30795,45803,16685139
2016,UT,13386.0,Republican,46148,27715,42375,1933422
2016,VA,31262.0,Republican,56292,35130,53792,5142712
2016,VI,1564.0,,,,,
2016,VT,5762.0,Democrat,44188,29569,50420,433924
2016,WA,103862.0,Republican,58989,34596,55802,4310119
2016,WI,27656.0,Republican,46551,30320,47598,3658030
2016,WV,7020.0,Republican,41183,20587,37099,890105
2016,WY,4184.0,Republican,46028,30753,54168,398271
